0.97, 50.18
24.87, 68.87
16.90, 67.98
23.20, 65.95
19.50, 70.23
14.10, 58.41
40.70, 69.16
49.34, 53.46
9.83, 95.78
42.56, 55.39
42.17, 53.16
9.55, 93.50
1.60, 52.44
3.22, 89.26
35.77, 65.41
36.18, 99.69
1.66, 59.60
40.75, 55.29
18.30, 77.13
27.67, 69.86
10.85, 69.21
12.13, 68.78
42.60, 82.18
40.15, 57.69
14.42, 60.12
28.73, 53.37
45.36, 53.11
23.83, 67.58
13.40, 79.76
27.73, 96.30
9.23, 98.60
11.94, 60.17
33.16, 98.10
10.20, 56.45
4.31, 53.71
21.61, 84.11
9.90, 54.54
27.69, 53.72
21.83, 81.87
34.69, 92.69
39.70, 55.69
41.90, 89.75
31.44, 58.77
11.58, 79.83
40.56, 93.11
16.17, 66.86
24.75, 60.43
27.45, 93.10
42.97, 89.10
11.88, 87.86
49.76, 54.45
24.71, 88.17
38.57, 64.55
48.92, 96.92
19.36, 91.19
8.55, 56.90
35.11, 58.50
35.74, 88.55
26.23, 75.10
19.20, 80.10
0.70, 56.97
6.52, 84.92
17.93, 94.31
49.77, 86.71
33.87, 93.99
13.65, 51.73
45.64, 85.49
44.10, 88.44
29.47, 80.15
34.44, 91.96
20.99, 87.54
11.85, 83.33
18.81, 96.85
11.38, 87.24
37.48, 76.54
17.66, 97.57
20.79, 78.59
28.32, 57.35
13.30, 71.49
14.81, 50.94
23.40, 91.92
44.78, 51.12
10.14, 67.57
34.27, 86.44
16.66, 68.73
17.64, 83.50
37.33, 58.89
48.11, 76.16
35.90, 99.12
29.59, 78.45
34.19, 52.90
39.86, 92.38
39.77, 55.79
7.00, 72.75
5.84, 95.91
6.65, 82.94
19.87, 68.32
15.63, 70.40
47.86, 95.40
23.49, 67.98
