47,38,10,65,7,9,18,50,92,90,14,73,88,82,70,47,41,67,86,87,1,58,43,89,50,24,76,90,31,56,43,35,94,83,59,84,91,91,47,20,27,25,49,45,38,97,34,40,95,23,9,4,26,12,49,42,73,77,96,70,60,35,65,63,89,77,54,55,91,28,13,12,60,36,67,87,61,66,25,56,48,14,92,63,72,31,18,81,83,52,61,18,50,34,36,18,72,1,89,26
72,89,82,61,27,60,27,72,8,3,55,28,63,32,91,69,43,4,36,18,5,79,98,38,46,98,90,87,49,84,92,60,34,53,96,29,29,25,15,48,3,28,38,19,42,34,32,83,84,64,100,33,66,18,8,94,41,87,86,25,56,11,38,2,62,41,48,15,47,3,83,82,13,92,29,64,90,21,28,22,27,43,24,61,3,83,6,41,95,51,27,7,48,31,5,91,67,42,29,0
27,45,98,7,5,62,74,98,27,66,95,86,43,30,81,43,14,16,1,48,4,37,26,49,75,48,10,41,100,34,18,86,1,6,5,72,44,77,25,49,50,34,8,46,67,99,15,31,13,79,41,41,75,61,57,57,41,5,22,37,32,19,47,71,63,7,100,31,7,13,53,96,32,4,7,53,1,48,90,54,22,78,66,95,27,57,53,20,54,45,2,6,69,1,92,88,87,26,70,38
77,32,71,47,37,100,26,89,33,53,76,28,52,90,18,32,12,65,56,38,60,99,78,59,99,22,27,72,3,72,91,43,75,73,94,78,7,77,6,5,14,46,8,41,63,84,6,77,2,44,54,50,91,72,38,10,40,11,8,99,85,93,30,64,95,18,54,9,40,57,12,16,4,85,18,76,34,64,79,10,73,35,59,58,11,24,12,6,100,42,17,50,48,24,16,59,21,87,5,95
62,88,21,61,31,54,57,8,71,67,63,12,9,58,10,6,75,33,91,68,44,89,65,7,36,75,76,72,23,48,87,20,58,9,88,42,87,42,77,44,51,55,8,23,65,99,55,72,69,0,94,93,100,14,70,57,58,51,16,51,35,5,79,14,6,87,3,48,73,59,27,59,87,45,95,97,13,23,14,80,46,28,97,89,59,89,80,78,29,93,49,100,41,39,84,2,61,76,14,95
82,70,8,20,46,30,82,91,11,7,32,0,13,16,57,94,13,77,42,35,10,70,100,3,55,8,33,4,12,95,25,82,66,50,80,74,31,2,20,89,29,83,10,5,65,26,100,90,65,26,87,77,50,31,12,28,59,23,46,12,55,23,95,66,60,39,50,43,14,5,71,6,97,10,87,67,46,95,77,76,90,82,52,50,14,15,51,88,12,100,55,9,70,49,87,90,77,49,66,97
62,8,18,73,5,39,71,48,57,82,46,100,21,39,24,95,64,74,86,10,17,87,19,31,89,67,40,20,46,59,37,62,90,66,32,67,94,12,57,52,20,76,61,12,82,97,59,59,81,26,20,97,24,20,96,48,29,56,38,10,95,8,39,3,96,81,17,26,0,67,23,40,97,26,44,54,32,3,77,54,76,63,98,51,17,31,32,76,41,90,89,70,4,12,78,86,99,88,5,100
93,89,78,54,57,65,5,58,43,41,39,34,17,12,77,81,83,93,25,44,74,13,34,33,43,63,96,30,19,86,14,91,23,41,98,46,33,28,45,18,77,41,42,44,98,17,100,47,95,90,68,3,43,23,52,28,45,61,18,25,64,76,47,70,7,67,68,31,100,98,34,16,89,99,80,39,23,53,16,97,35,83,14,75,84,46,73,10,20,70,100,28,58,57,83,68,89,91,83,24
98,41,14,100,21,20,64,85,90,45,9,58,40,76,50,79,43,53,23,34,92,96,72,91,40,62,12,91,27,24,29,1,52,72,6,30,69,3,41,76,63,59,35,84,19,95,6,45,55,82,30,87,91,85,73,41,40,76,3,67,8,47,17,71,73,10,69,49,72,82,11,4,81,72,37,91,58,50,76,92,54,47,4,27,75,89,33,54,64,67,40,19,36,47,91,7,42,98,8,3
82,40,100,7,40,41,49,74,30,80,47,91,44,66,22,22,42,13,76,79,47,37,91,47,62,47,95,29,53,72,97,97,98,21,62,27,26,10,46,89,28,89,2,4,97,43,94,86,40,64,86,26,48,46,48,47,16,83,88,35,43,7,8,37,29,41,23,56,97,62,84,13,38,53,39,71,43,59,19,10,95,40,9,77,92,86,7,23,76,0,42,55,99,76,5,0,67,96,33,65
