100
31
1,9491.62,
2,,
3,5792.15,6138.15
4,,
5,,
6,5726.26,
7,,
8,,
9,,
10,8257.85,18067.28
11,7572.83,8664.63
12,9220.49,
13,,
14,2275.48,1185.10
15,2749.53,4184.86
16,,5126.72
17,7772.77,8027.31
18,8571.34,3171.15
19,3990.00,13626.17
20,,175.14
21,,1847.86
22,,446.26
23,,
24,2663.34,2906.05
25,7591.42,1456.97
26,1578.04,2308.93
27,1929.68,
28,6617.00,
29,,13650.87
30,791.05,
31,,1055.22
30
1,,
2,5556.36,2353.08
3,,1958.58
4,2134.20,2682.44
5,975.09,323.22
6,2280.07,2935.80
7,,485.83
8,,
9,106.02,
10,3467.95,2043.02
11,1861.74,1567.19
12,1683.84,626.27
13,6610.92,114.56
14,,
15,,4523.04
16,73.19,
17,8542.74,3900.35
18,,3018.02
19,,3101.31
20,4105.95,7594.31
21,3652.64,
22,,
23,,
24,7062.07,
25,,
26,,
27,,2184.65
28,2603.50,5451.41
29,1267.88,2546.61
30,9493.11,6581.75
29
1,1128.85,
2,1097.86,2092.21
3,8530.46,1236.84
4,8841.25,524.25
5,,
6,7552.97,
7,6581.57,19320.98
8,454.50,
9,,
10,7075.18,3980.86
11,,13797.88
12,,11.34
13,,
14,,178.50
15,,
16,448.52,538.55
17,7183.73,
18,,
19,,6502.07
20,,133.25
21,,
22,,
23,,226.56
24,,
25,6059.83,5617.97
26,6382.95,3433.98
27,2807.57,
28,,
29,,
30
1,2825.40,1767.44
2,5913.73,
3,3290.58,
4,,
5,2519.46,7019.99
6,,
7,,
8,950.00,4190.81
9,7941.72,
10,8544.14,
11,8872.85,13307.79
12,,2903.75
13,4663.68,1460.97
14,,
15,9692.32,21987.26
16,,
17,4281.25,
18,,2419.71
19,,
20,9152.20,3070.59
21,9673.62,
22,9878.13,
23,,20290.49
24,2264.12,
25,4176.27,
26,6524.23,
27,9388.90,9934.92
28,,17662.21
29,,
30,2533.27,4409.73
28
1,4406.40,2871.33
2,7823.18,
3,,2126.22
4,,
5,8043.76,9714.63
6,,4821.97
7,7671.52,
8,5838.99,8085.99
9,,
10,337.03,
11,,
12,,
13,,
14,5822.18,
15,,8653.80
16,7983.22,
17,,
18,1017.98,
19,,
20,,
21,,
22,5470.42,13175.47
23,6212.88,
24,,
25,2632.89,
26,9866.36,
27,3823.31,
28,5859.38,17603.18
28
1,7305.94,3094.13
2,,3955.81
3,6160.63,
4,,3709.54
5,544.95,1876.27
6,2499.00,
7,6145.28,
8,6354.15,12532.35
9,6712.61,7418.66
10,6379.92,7538.81
11,,1892.07
12,4112.62,
13,114.30,
14,,1223.24
15,,453.25
16,4014.51,2640.36
17,8268.51,6425.37
18,2388.90,4206.32
19,3356.14,107.63
20,4359.02,4462.21
21,1006.86,6234.09
22,9817.05,6803.12
23,2098.42,654.84
24,,
25,,5669.86
26,,
27,1929.10,580.22
28,3453.86,
28
1,,
2,4141.84,
3,9857.30,
4,,2656.26
5,,10631.58
6,8191.45,4446.78
7,,
8,,
9,,
10,,
11,1144.01,107.62
12,,
13,,1220.38
14,7182.44,
15,5884.71,
16,2868.71,
17,3072.85,17145.56
18,,
19,8354.86,
20,,
21,1389.09,
22,7219.41,15410.28
23,2892.13,5261.10
24,3445.48,
25,8782.37,
26,2443.40,
27,,11324.60
28,7519.91,311.98
28
1,,
2,1530.81,1364.48
3,8924.79,
4,9057.35,
5,2450.12,4216.59
6,1537.20,1851.02
7,,6051.45
8,,
9,,2832.58
10,6763.31,
11,,
12,3299.35,
13,,
14,3643.91,
15,1266.64,
16,9122.76,460.58
17,3453.21,8604.06
18,552.53,
19,,
20,,
21,,23615.91
22,4719.80,
23,818.78,
24,5486.44,2779.41
25,2232.12,
26,,
27,,
28,,2958.04
29
1,,
2,,
3,6190.46,
4,,2839.77
5,,
6,,1254.33
7,,
8,,1270.40
9,5712.30,
10,,549.57
11,7553.04,2431.37
12,,1953.04
13,8375.87,
14,,7933.06
15,,203.06
16,,
17,,
18,,7201.48
19,,284.29
20,,
21,,
22,7951.72,1468.11
23,2904.76,819.39
24,4339.09,4371.93
25,,3519.34
26,3269.36,7281.83
27,,
28,8121.11,2108.46
29,,
28
1,4084.02,1045.13
2,,
3,,23.77
4,4356.55,2718.64
5,,
6,,
7,,
8,,
9,,1473.54
10,1726.65,3216.79
11,2.55,
12,2570.30,2967.84
13,5760.21,
14,66.51,4821.00
15,,
16,,1881.68
17,8613.70,
18,,
19,,4215.98
20,,
21,,
22,,
23,,
24,,
25,4194.37,
26,,
27,5681.63,461.61
28,,
31
1,1532.76,1216.54
2,5100.93,
3,5496.95,3620.60
4,,
5,5081.37,
6,,
7,6132.59,4225.72
8,,9324.18
9,6864.94,
10,,11657.21
11,,144.60
12,2832.89,
13,,
14,,2058.75
15,2370.59,2433.53
16,1229.77,
17,,
18,83.66,
19,,801.65
20,4670.15,
21,4774.20,
22,6416.63,
23,6068.31,
24,,
25,,12115.21
26,,
27,,
28,9085.19,
29,,15814.59
30,2276.40,5525.75
31,,690.67
28
1,578.56,151.29
2,,214.76
3,,101.25
4,687.14,
5,,333.88
6,1047.00,
7,,150.28
8,6464.71,617.79
9,,
10,,629.74
11,,
12,1961.31,1899.64
13,,2640.65
14,,1875.08
15,1201.76,
16,6410.44,
17,,
18,,
