100
729,61
572,52
522,47
982,611
350,51
921,263
998,627
932,127
656,69
84,135
73,45
61,114
222,440
72,178
55,290
469,595
48,28
182,566
687,237
636,84
341,187
332,932
213,914
97,393
176,749
153,376
16,399
592,349
135,81
415,107
823,812
749,17
304,765
731,595
342,9
1,377
952,923
295,862
525,629
485,19
199,1
462,7
916,276
309,204
536,78
881,967
791,203
779,430
723,798
44,428
279,90
275,925
151,459
54,82
149,615
24,190
61,263
985,659
262,151
543,449
292,839
215,15
202,588
683,431
290,221
471,391
443,113
138,100
45,25
714,161
380,3
43,57
425,518
36,334
2,39
573,225
78,159
341,141
692,709
159,366
670,32
621,593
548,402
471,39
815,109
565,74
27,97
377,793
250,310
201,660
402,92
4,38
87,39
216,553
102,422
107,70
207,402
49,251
194,316
795,38
93,19
263,31
85,518
18,224
78,227
742,543
558,152
464,273
542,281
401,196
505,150
696,893
420,320
36,585
732,536
698,477
579,167
976,257
103,37
432,149
815,684
17,397
403,26
773,50
86,44
656,19
405,811
30,467
314,260
409,592
117,198
175,98
13,851
10,439
6,224
984,192
282,43
875,115
461,709
384,199
440,488
773,645
451,46
446,143
718,640
191,349
399,119
306,797
118,284
187,247
627,930
614,864
354,109
482,820
257,586
61,544
319,267
127,245
72,102
843,175
416,87
775,5
694,863
79,817
432,258
109,96
58,7
71,66
138,903
81,519
111,695
347,590
280,261
127,256
86,171
35,46
75,69
612,415
340,306
78,354
981,972
488,699
629,127
531,511
481,483
491,443
976,868
656,494
976,758
124,103
21,77
100,18
139,45
40,11
3,23
741,573
683,218
541,552
319,171
44,155
141,79
870,303
271,226
805,26
850,727
372,269
809,239
405,188
18,123
166,46
134,622
8,360
96,106
380,342
327,277
335,186
184,598
178,41
135,157
240,184
211,4
237,102
283,842
8,310
20,85
592,172
478,137
283,153
274,26
225,3
43,21
238,366
84,344
42,237
36,93
33,59
14,4
686,59
222,32
616,55
374,570
181,491
150,278
672,273
639,165
229,59
547,685
347,547
114,377
265,373
187,144
46,102
975,986
254,780
619,8
33,916
26,1
9,215
481,616
324,453
356,135
507,671
55,1
38,96
503,710
127,599
102,485
314,589
277,241
191,175
114,805
97,89
55,59
694,962
247,600
77,919
65,581
15,75
2,297
98,631
4,67
95,132
670,255
303,227
499,163
814,894
184,770
351,291
480,145
317,42
151,83
919,943
756,110
152,614
929,976
593,656
308,355
955,639
914,407
805,637
